user_id,phone_number,address,city,country,age,account_created
300,229-663-5269,4880 Park Ln,Chicago,France,69,2022-11-03
301,202-733-8318,2940 Highland Ave,Los Angeles,Germany,23,2023-12-27
302,364-810-2551,2282 Highland Ave,New York,Canada,30,2021-03-12
303,556-539-3552,7415 Highland Ave,New York,Canada,55,2023-11-24
304,752-979-7204,1366 2nd Ave,Houston,USA,31,2020-04-30
305,435-986-5402,2189 Park Ln,Houston,USA,58,2020-08-25
306,588-427-6745,395 Maple Dr,Houston,USA,70,2021-02-21
307,139-363-7878,5469 Highland Ave,Phoenix,Germany,50,2019-07-10
308,449-145-1800,9184 Highland Ave,New York,France,53,2020-06-26
309,945-910-4990,5845 Maple Dr,New York,UK,73,2021-04-16
310,723-978-1959,9558 2nd Ave,New York,France,25,2019-05-29
311,418-889-4647,9238 Park Ln,New York,UK,39,2022-04-05
312,547-858-1565,7884 Highland Ave,Los Angeles,France,69,2020-10-07
313,612-435-8429,9042 2nd Ave,Los Angeles,Canada,66,2023-08-18
314,831-559-5504,9257 Maple Dr,Phoenix,USA,68,2023-05-31
315,474-214-9253,7298 2nd Ave,Chicago,Germany,53,2019-09-05
316,220-732-7619,633 Park Ln,Phoenix,France,53,2021-01-22
317,951-725-8844,3078 Main St,Los Angeles,UK,49,2022-02-04
318,731-484-8676,2164 Highland Ave,Phoenix,UK,40,2022-02-18
319,116-929-1289,669 2nd Ave,Chicago,France,24,2022-08-04
320,524-969-6310,2527 Highland Ave,Chicago,France,66,2020-01-23
321,329-762-2990,676 Park Ln,Los Angeles,USA,24,2019-09-11
322,571-755-1181,2405 Highland Ave,Phoenix,France,28,2020-10-21
323,640-183-5398,3835 Highland Ave,Phoenix,Canada,78,2021-10-08
324,316-745-2739,1984 Maple Dr,Chicago,Canada,63,2022-11-01
325,591-266-8939,6488 2nd Ave,Chicago,France,55,2022-05-14
326,604-125-7159,9598 2nd Ave,Phoenix,UK,33,2023-02-12
327,757-387-5975,6970 2nd Ave,New York,Germany,60,2021-09-12
328,103-727-6275,6822 Park Ln,New York,Canada,32,2023-05-23
329,398-877-2283,2665 Main St,Houston,UK,20,2021-07-16
330,268-880-9446,1272 Maple Dr,Houston,Germany,23,2022-04-10
331,449-892-1713,5261 2nd Ave,Houston,UK,30,2021-02-17
332,109-648-8941,5867 Main St,Houston,Germany,78,2021-09-07
333,496-106-7738,9658 Highland Ave,New York,Germany,33,2019-05-19
334,827-779-8165,5490 Park Ln,New York,UK,37,2021-05-20
335,806-997-8197,2020 Park Ln,New York,UK,28,2021-04-19
336,748-315-9283,6890 Main St,Chicago,UK,37,2022-10-06
337,265-271-4331,510 Highland Ave,New York,France,37,2019-07-02
338,207-996-5279,7189 Park Ln,Los Angeles,Canada,69,2023-11-21
339,938-438-1115,5186 Highland Ave,New York,Germany,62,2019-06-28
340,264-724-6992,5956 2nd Ave,Los Angeles,USA,63,2020-05-16
341,279-932-7530,441 Maple Dr,Phoenix,France,25,2021-04-25
342,269-478-8163,8429 Maple Dr,Chicago,Germany,34,2021-10-22
343,157-348-5392,503 Highland Ave,Phoenix,France,58,2022-12-07
344,986-752-3751,3632 2nd Ave,Phoenix,Germany,77,2020-12-14
345,193-105-4130,539 Highland Ave,New York,Canada,60,2022-01-02
346,409-367-6854,1244 Maple Dr,Houston,Germany,19,2023-09-18
347,974-872-9005,3572 Park Ln,Phoenix,UK,28,2021-12-18
348,311-208-8064,3803 Main St,Los Angeles,Germany,29,2023-03-09
349,124-780-3628,1384 Maple Dr,New York,UK,51,2019-10-07
350,886-957-8252,9550 Park Ln,Houston,UK,56,2020-12-11
351,413-949-7501,7029 2nd Ave,Houston,UK,43,2019-03-12
352,750-765-8901,5719 Main St,Chicago,UK,29,2023-09-27
353,110-213-3592,3368 Main St,Chicago,UK,48,2023-04-12
354,911-568-1125,443 Highland Ave,Los Angeles,USA,45,2022-05-11
355,763-225-8306,4753 Highland Ave,Phoenix,UK,49,2019-01-11
356,868-604-4859,8769 Maple Dr,New York,Germany,48,2020-11-09
357,702-383-3252,7131 Main St,New York,France,53,2021-03-21
358,833-821-7923,4812 Park Ln,Los Angeles,France,53,2023-01-01
359,354-465-9698,4453 Park Ln,Phoenix,Germany,67,2020-09-28
360,748-640-7953,3884 2nd Ave,New York,Germany,58,2022-02-06
361,425-989-6012,7016 Main St,Los Angeles,UK,26,2019-11-23
362,867-633-3242,1590 Highland Ave,Chicago,USA,55,2023-12-20
363,179-924-9553,4676 Maple Dr,Houston,France,42,2023-02-25
364,666-682-8677,7566 2nd Ave,Phoenix,Germany,51,2021-12-11
365,989-837-9619,4683 2nd Ave,Chicago,Germany,51,2021-10-04
366,541-442-4623,2652 2nd Ave,Los Angeles,Germany,37,2021-02-26
367,210-633-6799,8548 Main St,Chicago,Canada,59,2021-04-27
368,314-901-4753,807 Main St,New York,France,21,2023-11-29
369,884-598-2774,2290 2nd Ave,Los Angeles,Canada,71,2022-04-23
370,599-174-5981,8816 Main St,Houston,Canada,66,2022-12-27
371,890-129-9689,7118 Highland Ave,New York,France,19,2022-04-13
372,636-401-8814,5241 Park Ln,Chicago,Germany,67,2021-11-12
373,706-769-3527,2579 Highland Ave,New York,Canada,19,2022-06-05
374,468-639-7235,7833 Park Ln,New York,UK,78,2022-03-16
375,447-152-1677,2085 Maple Dr,Houston,Canada,54,2022-08-16
376,942-286-2833,3109 Maple Dr,New York,Canada,45,2021-08-23
377,574-297-3071,8536 Highland Ave,Houston,USA,65,2023-04-18
378,472-945-5271,1483 Maple Dr,New York,Canada,19,2022-11-25
379,314-692-4416,5942 2nd Ave,Chicago,UK,67,2022-07-27
380,342-548-9370,9091 2nd Ave,Los Angeles,France,74,2021-04-26
381,981-260-2031,1585 2nd Ave,Phoenix,USA,58,2022-12-17
382,960-920-1342,4982 Highland Ave,Phoenix,Canada,75,2019-02-13
383,135-571-6442,5594 Park Ln,Chicago,USA,62,2021-11-08
384,740-381-2511,1689 2nd Ave,Chicago,Canada,70,2019-06-04
385,160-148-6550,8576 Maple Dr,Chicago,USA,60,2021-12-03
386,378-369-8679,3139 Park Ln,New York,UK,63,2022-01-29
387,650-540-5097,4607 Highland Ave,Chicago,Canada,68,2020-09-24
388,711-548-5150,1472 Highland Ave,Phoenix,UK,30,2019-05-06
389,720-207-6990,8571 Highland Ave,New York,UK,47,2022-01-06
390,239-982-1283,5383 Park Ln,Houston,USA,66,2019-09-01
391,140-918-8021,9652 Highland Ave,New York,USA,25,2019-02-28
392,473-142-2008,2518 Park Ln,Los Angeles,France,34,2022-11-14
393,955-277-6249,8858 Park Ln,Chicago,USA,53,2022-01-19
394,923-974-5260,9266 Highland Ave,Phoenix,France,19,2020-12-12
395,818-613-5991,5721 Park Ln,Phoenix,USA,50,2020-08-19
396,415-640-7787,7578 Main St,Houston,France,58,2022-07-23
397,610-273-4482,9702 Park Ln,New York,Germany,19,2021-06-13
398,824-651-8100,7579 Highland Ave,Los Angeles,UK,24,2019-06-04
399,628-998-4197,4351 Highland Ave,Los Angeles,Germany,30,2019-11-16
400,128-496-1809,9318 Maple Dr,Phoenix,Canada,58,2023-03-20
401,124-170-7418,8461 2nd Ave,Phoenix,USA,66,2020-09-10
402,768-271-1677,1247 Main St,Los Angeles,France,58,2020-08-09
403,274-556-8051,7321 Park Ln,Chicago,Canada,69,2020-09-01
404,734-218-6875,1046 Park Ln,New York,Canada,33,2023-05-17
405,606-421-1268,3458 Highland Ave,Los Angeles,France,74,2021-03-21
406,978-102-3425,4996 Park Ln,New York,USA,72,2022-08-26
407,650-845-2059,3302 Highland Ave,Chicago,France,40,2021-09-14
408,373-739-7358,9547 Maple Dr,Los Angeles,Germany,33,2023-02-22
409,103-967-1042,2117 Main St,Chicago,UK,73,2020-03-10
410,255-136-5519,4518 Maple Dr,Phoenix,France,32,2021-04-16
411,237-570-4249,9845 2nd Ave,Chicago,USA,28,2020-02-03
412,822-492-5558,4175 Park Ln,Phoenix,UK,33,2019-01-17
413,398-571-1050,207 Main St,New York,USA,43,2022-07-21
414,892-536-8697,2034 Maple Dr,Los Angeles,UK,44,2020-06-14
415,792-867-3850,3509 Highland Ave,Chicago,France,77,2022-06-24
416,332-810-5360,8780 2nd Ave,New York,Canada,64,2023-09-18
417,723-253-5557,5384 Park Ln,Phoenix,France,67,2020-12-26
418,635-431-2752,9084 2nd Ave,Chicago,France,18,2023-06-27
419,889-234-6366,1585 Maple Dr,Houston,Canada,72,2021-12-24
420,781-102-7379,8309 Park Ln,Chicago,USA,19,2021-04-28
421,422-743-3995,9584 Maple Dr,New York,France,54,2022-05-03
422,755-789-2925,1450 2nd Ave,Phoenix,Canada,67,2022-06-03
423,249-139-4101,5856 Main St,Phoenix,UK,47,2023-06-15
424,767-858-9919,4417 Main St,Los Angeles,Canada,46,2020-04-26
425,780-301-4276,1203 Maple Dr,Los Angeles,France,66,2023-08-01
426,338-924-4677,545 2nd Ave,New York,Germany,18,2020-03-03
427,431-907-9143,1514 2nd Ave,Chicago,Germany,22,2022-09-07
428,839-938-3667,9546 Highland Ave,Chicago,France,75,2022-05-03
429,643-535-4206,9179 2nd Ave,Phoenix,UK,64,2022-12-01
